Treatment_logFC	Ancestry_logFC	P.Value	gene	SE
-0.0899694282396727	-0.0508962958255192	0.160611461533946	ENSG00000000419	0.0533765117832362
0.0378541774337538	-0.015616238098158	0.936454502853983	ENSG00000000457	0.114143822895584
-0.155059605575478	0.108471278578963	0.27998952712374	ENSG00000000460	0.120041727654022
-0.117211971665317	-0.10963622201937	0.134216208050272	ENSG00000000938	0.0791167254983652
-0.0234609257184882	0.0491292590327151	0.802049348528179	ENSG00000001036	0.0827851434603286
0.282416425457065	-0.138312354146185	0.00520801000720076	ENSG00000001084	0.0977302432483892
-0.167604078172902	-0.107857067721486	0.100350971733138	ENSG00000001167	0.0919545153369052
0.0457896927721684	0.18698932763474	0.16325696385691	ENSG00000001461	0.100616550968026
0.0707463185127987	0.0380397709517477	0.386964049260481	ENSG00000001497	0.0576435745175932
0.946460350931856	0.0733566270856575	2.52090693802128e-23	ENSG00000001561	0.0902827867467576
0.195757561969829	0.0310906338324425	0.0129225968860731	ENSG00000001629	0.0668102599406835
-0.322510386140884	-0.0748231823581575	0.0105725961509835	ENSG00000001630	0.109101472108625
0.202892998519322	0.0161190573320587	0.0987395461165501	ENSG00000001631	0.0944226813531227
0.241114045039896	0.000234273259208928	0.112928222417071	ENSG00000002016	0.115519791599937
-0.0124782158035805	0.0845859450455814	0.595666694577596	ENSG00000002330	0.0843445132139359
-0.10135305560115	0.0440296909017989	0.0238307633275125	ENSG00000002549	0.0405058996427797
0.00608181219349628	-0.0089140087291159	0.98350314497733	ENSG00000002586	0.0597726467827913
-0.0991608360456941	0.183497423924792	0.37502538116851	ENSG00000002586	0.150626443837889
-0.0581128078842257	-0.0207736196007317	0.905693757995828	ENSG00000002586	0.137906893942099
-0.163355456123416	0.171637813053177	0.592585323854831	ENSG00000002586	0.234841810614092
0.0716608012194912	-0.245182737847577	0.492459056391115	ENSG00000002586	0.216404674848654
0.0119885072490346	0.0906184194987987	0.491904441980952	ENSG00000002822	0.0765243340446506
0.0931814064425469	0.0368128278211368	0.53692726208348	ENSG00000002834	0.0891962209011968
0.240102144023127	-0.030107989348105	0.00186333044829652	ENSG00000002919	0.0682222352083286
-0.100635926789817	-0.136304780529016	0.345681638732911	ENSG00000003056	0.115072549409286
0.0663141526175659	0.227374690087215	0.229446577821273	ENSG00000003249	0.13733029842475
-0.291883388127814	-0.00860657334720102	0.0173467221223931	ENSG00000003393	0.102410319995095
0.170508483429166	0.210542096865164	0.0644923679868213	ENSG00000003400	0.114403272551986
0.937322873620878	0.0925191641916531	2.25495614385389e-80	ENSG00000003402	0.0439226506677646
0.158383160190072	0.0733451999223383	0.281288288587695	ENSG00000003509	0.108715793784475
-0.000662309818808044	-0.0112315442439982	0.973485273448784	ENSG00000003756	0.0483532763745986
0.146251509488065	0.00437772219563393	0.381409618226194	ENSG00000004059	0.105432211062686
-0.00596257736480744	-0.0113684488330481	0.945550398171371	ENSG00000004142	0.0377843585362086
-0.0146578756061098	0.0479950164023145	0.41331037821342	ENSG00000004455	0.0377734850387725
-0.225995336428868	0.516480513014543	2.66351565832272e-07	ENSG00000004468	0.102613935229366
-0.0988562062101946	0.00768404743396126	0.202188303360097	ENSG00000004478	0.0554481548369923
-0.0869559272119629	-0.060468136609726	0.0980221837047384	ENSG00000004487	0.0484273349507633
0.125993608077343	-0.106563021914799	0.0100041929475082	ENSG00000004534	0.0547959795019443
0.0995646540037229	-0.00386225709095911	0.734599614371796	ENSG00000004700	0.127217646705285
0.11109217248634	-0.0419206541383137	0.460457173296058	ENSG00000004766	0.096178449807564
0.084369734475146	0.146539150252064	0.254198158205455	ENSG00000004777	0.101202721723666
-0.0948293775584659	0.103242651585884	0.000587633817480498	ENSG00000004779	0.0363909839547976
0.168570168590035	0.12929711699912	0.0644598194310625	ENSG00000004864	0.0896660891551122
0.203609849484903	-0.117058502083703	0.00349359673513356	ENSG00000004866	0.0703313952874678
0.0159788692103745	0.0582081174879135	0.451286529507181	ENSG00000004897	0.0474236659366169
-0.122453401758151	-0.00604772062372841	0.143008641126589	ENSG00000004961	0.0620082424845407
-0.0511208394645405	-0.125445556210827	0.253929840539018	ENSG00000004975	0.0811527462706007
-0.0112168504202863	-0.130015205447215	0.0903195261078768	ENSG00000005007	0.0592716282181568
0.128492796432305	-0.0578002247441019	0.0836341615515082	ENSG00000005020	0.0637032334224834
-0.0168033966670154	-0.0813599646298315	0.0503104869500004	ENSG00000005022	0.0335041138144335
0.227393830449156	0.125700782250774	0.00112053003905345	ENSG00000005059	0.069537278217657
0.0531765177441324	0.102492984864294	0.127047971846061	ENSG00000005075	0.0561731179857788
0.170938188754761	0.0213095406682142	0.00608493127135924	ENSG00000005100	0.0535470932879167
0.0158353309890134	-0.0982314804397174	0.588679276195264	ENSG00000005156	0.0971215773918367
-0.0596126758986909	0.0554756084298727	0.626195483337216	ENSG00000005175	0.0852149075567545
-0.111665562815094	0.197798422695804	0.179697508591214	ENSG00000005187	0.123938639983283
0.109286724212511	0.0802330626947109	0.414904546311746	ENSG00000005189	0.101171745276176
-0.0429090917854358	0.0555749050018235	0.58017279501279	ENSG00000005194	0.0680390037983038
0.149886262970203	-0.148795721699089	0.0458506650634834	ENSG00000005206	0.0860043229041226
0.00967868810781906	0.169509690438597	0.309924363124238	ENSG00000005238	0.110895182692436
-0.547228036469151	0.0422299813276717	1.44902698797368e-16	ENSG00000005302	0.063044587004952
-0.0814251954963566	-0.0567010269536869	0.235776660533993	ENSG00000005339	0.0576315021887508
-0.401388659840165	-0.0545935285052397	0.00490693055470226	ENSG00000005379	0.123705379841316
-0.0731274584249656	0.0854794518572456	0.344622079669622	ENSG00000005436	0.0779711841001444
-0.0149036340141191	0.0134872781390152	0.938750573241114	ENSG00000005448	0.0571413607469475
-0.12771678494878	-0.104674678448976	0.265759137964478	ENSG00000005469	0.100341633488091
-0.182874056702321	-0.165165537083435	0.183163260281018	ENSG00000005471	0.132317624386328
-0.020727672179584	0.0923664204727934	0.201109145369204	ENSG00000005483	0.0529933577243676
-0.14196362894092	0.108714474567703	0.0377644264818657	ENSG00000005486	0.0705356798908574
-0.0970126080531061	-0.00123330971298663	0.351689574257554	ENSG00000005700	0.0670627560796131
