logFC	P.Value	gene	SE
-0.0190060721915855	0.799420316359781	ENSG00000000419	0.0744082617446016
-0.0595877403409075	0.72964547804778	ENSG00000000457	0.172898497180488
-0.0716020834432746	0.698271360058126	ENSG00000000460	0.18525868834553
0.084767700563023	0.448336324003803	ENSG00000000938	0.111790806671477
0.0343428365171716	0.801719133386862	ENSG00000001036	0.136992772716043
0.179115352154619	0.263300106464383	ENSG00000001084	0.160390326123092
0.14755916084517	0.263675964881015	ENSG00000001167	0.132103355085496
0.0184623880259477	0.904365053661822	ENSG00000001461	0.154026653110026
0.0744353365226336	0.33808023930426	ENSG00000001497	0.0773056748889006
0.203955898465811	0.17647504789013	ENSG00000001561	0.151041242988758
0.281383895124821	0.00677357920730272	ENSG00000001629	0.103336768701864
-0.113815002189873	0.493269381344564	ENSG00000001630	0.166521167873018
-0.0507331058026011	0.706319616153035	ENSG00000001631	0.134852646901518
0.179189577853995	0.311234141838282	ENSG00000002016	0.177348503073078
-0.0774298385495523	0.568611558880648	ENSG00000002330	0.136021919284267
0.0438068149390964	0.447848793683231	ENSG00000002549	0.0570029119356136
-0.0318714198294317	0.73064209708756	ENSG00000002586	0.0924087531071852
0.279214271109622	0.253756954806352	ENSG00000002586	0.245355511259109
0.0152727924002328	0.941076004174651	ENSG00000002586	0.207326112277021
0.326358483339285	0.38594334719692	ENSG00000002586	0.377852636228915
-0.494463904446263	0.167250639551739	ENSG00000002586	0.359076563120477
-0.0134415777688446	0.909130813904723	ENSG00000002822	0.117855104494478
0.0481487950075056	0.71052213499625	ENSG00000002834	0.129901009810771
0.0211413802134789	0.840058391947051	ENSG00000002919	0.104718481732734
-0.119856711031059	0.475808073662175	ENSG00000003056	0.1684919996958
0.153428381959691	0.501241772705638	ENSG00000003249	0.2288950321023
0.134681298300271	0.431651388681132	ENSG00000003393	0.171680916209981
0.245890667883937	0.145479924006197	ENSG00000003400	0.169135157529345
0.103586845902467	0.12108694302237	ENSG00000003402	0.0661922719307967
-0.167731163101822	0.3261124703735	ENSG00000003509	0.171176629867342
-0.02456203416717	0.744531101563768	ENSG00000003756	0.0749923606919657
0.0428635150250523	0.802154597585141	ENSG00000004059	0.171548042999702
-0.0235804285303597	0.663593503458871	ENSG00000004142	0.0534367968153198
-0.0450256878828496	0.339244694299332	ENSG00000004455	0.0461231475246932
0.342385170820775	0.0289245936195036	ENSG00000004468	0.156592389679831
-0.116349323467643	0.179347687206363	ENSG00000004478	0.0863091974272284
-0.159569906004528	0.0199326926581108	ENSG00000004487	0.0678062933039251
0.00359087479601804	0.960163252525407	ENSG00000004534	0.071460507157535
0.278172400380346	0.170058878931873	ENSG00000004700	0.203162349461431
0.0710261785976059	0.634890392776861	ENSG00000004766	0.149887452690052
-0.0141004201978682	0.930232959516475	ENSG00000004777	0.161468763631029
0.0510311162214954	0.304321635009875	ENSG00000004779	0.0487555690622633
0.107738593382192	0.400349255586109	ENSG00000004864	0.1282177016138
0.106380960676789	0.270074532032056	ENSG00000004866	0.0962558567784983
0.156299748746513	0.0241130550047257	ENSG00000004897	0.068579567818
-0.00879814584520012	0.925486211966533	ENSG00000004961	0.0939284533879046
-0.097849940518689	0.437004893354088	ENSG00000004975	0.125992584098656
-0.00613525958153457	0.940509134625522	ENSG00000005007	0.0819242195129246
-0.125322564970209	0.214419932806643	ENSG00000005020	0.100763284633126
-0.114641858447692	0.0465860961237013	ENSG00000005022	0.0567526500339903
0.10311024591176	0.31088719947868	ENSG00000005059	0.101614062364119
0.0457828098540034	0.536350982044799	ENSG00000005075	0.0736234044305138
0.0274022473671431	0.693024349838344	ENSG00000005100	0.0689382635251533
0.22087266261937	0.153549549945799	ENSG00000005156	0.154920788832945
-0.146969166570232	0.273907968390744	ENSG00000005175	0.134437281275092
0.0422428031035092	0.828280705871482	ENSG00000005187	0.195379507937532
-0.110546463931793	0.459267497355367	ENSG00000005189	0.149653879316295
-0.0997359008090611	0.311265244211502	ENSG00000005194	0.0983302483319009
0.0138906641860846	0.911083698921404	ENSG00000005206	0.124530512967356
-0.0266588756218921	0.87550242650864	ENSG00000005238	0.170631476454444
-0.0441320968544264	0.616811798406186	ENSG00000005302	0.08797224503101
0.17136637391607	0.0531404711399232	ENSG00000005339	0.0881769750205135
-0.178994192750058	0.334493246880469	ENSG00000005379	0.185921906188235
-0.129541411337816	0.241670689773243	ENSG00000005436	0.110557292199667
-0.0192324356183116	0.791901873150028	ENSG00000005448	0.0724750502385986
0.0347318458591474	0.817012497349789	ENSG00000005469	0.150436345237162
-0.197833171921148	0.341555648625162	ENSG00000005471	0.208588594813874
0.180521052005765	0.011451254107486	ENSG00000005483	0.0706278187561472
-0.196083359110376	0.0378782903462199	ENSG00000005486	0.0940170564681469
0.201182766243597	0.0530704098246797	ENSG00000005700	0.103689850799645
-0.141924122181252	0.13709132105136	ENSG00000005801	0.0951841561080266
0.0254850468994072	0.666840905996816	ENSG00000005810	0.0585347712785295
-0.242479538705507	0.0304045022810532	ENSG00000005812	0.111675512584481
-0.111389327670286	0.100959810738159	ENSG00000005844	0.067286031696012
0.102946470741869	0.599419310426584	ENSG00000005884	0.19660538712726
0.0960132874184293	0.450628981871714	ENSG00000005889	0.127392387083375
-0.0496193768496843	0.584755583707353	ENSG00000005893	0.0906036948939053
0.0919810772782918	0.387469826280286	ENSG00000006007	0.10636030863653
0.137759925287343	0.115557428415966	ENSG00000006015	0.0871670081566774
-0.138723242166863	0.380853129797026	ENSG00000006025	0.158613484247955
-0.112198433359048	0.490793516939184	ENSG00000006062	0.163206004841307
0.0141384618660147	0.9427077453863	ENSG00000006118	0.197377725058267
-0.0362925815660669	0.713526747171163	ENSG00000006125	0.0987549441269014
-0.0251550497637734	0.82240933452952	ENSG00000006194	0.112107877194709
0.809915600100078	2.47641806592768e-06	ENSG00000006282	0.169758355761338
0.37169226046902	0.0135043702392899	ENSG00000006432	0.150166575683748
0.0808911292088567	0.39355373993405	ENSG00000006451	0.0946260414070892
-0.188845024559663	0.350732584285932	ENSG00000006453	0.202927111763723
-0.0201488099262404	0.86551618758595	ENSG00000006530	0.1190677572549
-0.107064473844929	0.173705489521229	ENSG00000006576	0.0782662953874248
-0.194236359779865	0.116361026250954	ENSG00000006607	0.123620964718649
-0.134318863186802	0.120660764171018	ENSG00000006625	0.0861672110985941
-0.0797676054508612	0.395824357312628	ENSG00000006634	0.0937507352078783
-0.550285772641756	7.44466291074559e-06	ENSG00000006652	0.121206517109587
-0.262650584254027	0.221742321986412	ENSG00000006659	0.21548193181642
0.0697635196454721	0.580715728378483	ENSG00000006695	0.126437267396738
-0.0525632074175735	0.779440338857538	ENSG00000006704	0.188274308633531
0.0308792059126679	0.756024302032208	ENSG00000006712	0.0992905798054875
-0.0121587123808245	0.900523727067923	ENSG00000006715	0.0971599974300467
-0.327391191734364	0.105069135769275	ENSG00000006740	0.202303916158848
0.0815243848597076	0.250032449886746	ENSG00000006744	0.0703607337547515
-0.346377010178975	0.0780619751904123	ENSG00000006756	0.196792912018353
-0.0118155228928618	0.942155517007087	ENSG00000006757	0.163264644450788
0.198748015559883	0.0465927362567498	ENSG00000006831	0.0995124111829569
