Treatment_logFC	Ancestry_logFC	P.Value	gene	SE
-0.0377850450775527	0.00179294003740066	0.900081230244798	ENSG00000000419	0.0826949451239485
-0.0195692182880833	0.0958083322268645	0.772618523186425	ENSG00000000457	0.165483676202657
0.27354340387546	-0.320148830903136	0.028501913519075	ENSG00000000460	0.182477319953416
-0.00912127309537827	0.0320030114633626	0.945786725546824	ENSG00000000938	0.120730043022832
-0.177775388197998	-0.158258157799435	0.159684839634045	ENSG00000001036	0.13249356383341
-0.035145417888598	-0.0263059395041344	0.951929805491453	ENSG00000001084	0.14706566113889
-0.0215382609070081	-0.0864461828028508	0.69696165135672	ENSG00000001167	0.124282568900728
-0.187035047091581	0.173014596166736	0.225712782960448	ENSG00000001461	0.167544387945276
-0.0356627020210792	-0.16780981199725	0.0646979237979832	ENSG00000001497	0.086817194692131
-0.0937551692502461	-0.131188738714956	0.448373391643595	ENSG00000001561	0.141999975133101
0.0565958838150248	-0.0107888658225039	0.800124536737022	ENSG00000001629	0.0880423762159428
-0.336920132303853	-0.205935727841218	0.033060301946782	ENSG00000001630	0.156028742753388
-0.155376626657417	0.00814791440521898	0.56423970061289	ENSG00000001631	0.14651963989681
-0.226201416308025	-0.0555878935095058	0.358332032578517	ENSG00000002016	0.162604606749727
0.110558059535733	-0.146718639139721	0.241433961576177	ENSG00000002330	0.127222833661799
-0.104039370333624	0.0542645035510603	0.157176194893304	ENSG00000002549	0.0651452030006665
-0.0249849205284017	0.150993677096992	0.146569846284018	ENSG00000002586	0.0945226935419522
-1.31858052480762	0.341459564469977	7.54766972387255e-09	ENSG00000002586	0.226889163463498
-1.7860106123322	0.176043289965752	2.01251323192266e-17	ENSG00000002586	0.20047491000373
-3.07960621661143	0.366509177338736	2.95430735414158e-17	ENSG00000002586	0.349362385567712
2.90606603234281	-0.219992314392499	2.50502324163452e-17	ENSG00000002586	0.32598321989365
0.0715573419308903	-0.0437349156069122	0.739543808745509	ENSG00000002822	0.11784798951709
0.311678503818867	-0.0251716456075877	0.0473961508003927	ENSG00000002834	0.127558848639194
