logFC	P.Value	gene	SE
-0.0684797604130354	0.373643913506252	ENSG00000000419	0.0766557147665141
0.0814368614742352	0.613708442970987	ENSG00000000457	0.161736393953252
0.262344304613939	0.111736404672944	ENSG00000000460	0.165163862481609
-0.166243979017618	0.153365394690073	ENSG00000000938	0.116412665531817
0.10731120868221	0.364805496382979	ENSG00000001036	0.11848438162431
0.00611913682456886	0.964822608144499	ENSG00000001084	0.139027483185611
-0.244179291612021	0.0592586733598692	ENSG00000001167	0.129397091447305
0.129780157044222	0.34232165604027	ENSG00000001461	0.136863858094462
0.115614504171623	0.200031625344663	ENSG00000001497	0.0900067722006045
-0.0711620441323692	0.602941180195749	ENSG00000001561	0.137048626927299
0.0523518659220903	0.585830808887454	ENSG00000001629	0.0959931135264454
-0.0763506221435928	0.622407130439707	ENSG00000001630	0.155413652734447
-0.108847790842144	0.443877870513744	ENSG00000001631	0.142417351913053
0.0970872243546451	0.566612993849422	ENSG00000002016	0.169872663821002
-0.00715147116740816	0.953263742647889	ENSG00000002330	0.122176608063739
0.0746535003415043	0.154294561924329	ENSG00000002549	0.051651582387143
0.0043401461863543	0.959049845710177	ENSG00000002586	0.0843372132128986
0.258935357006802	0.217775032389205	ENSG00000002586	0.210632302701208
0.0406195432382029	0.832105389355063	ENSG00000002586	0.192210175173873
0.29521475405865	0.368110565351063	ENSG00000002586	0.329194241671918
-0.300314099149016	0.3298144383331	ENSG00000002586	0.309246018006845
0.0600059187867122	0.584251866243166	ENSG00000002822	0.10969952851204
0.0206314172237792	0.871078296541639	ENSG00000002834	0.127321114642713
-0.151692551885087	0.147307210983664	ENSG00000002919	0.104564358325455
-0.121504473475866	0.458967436955726	ENSG00000003056	0.164470111513145
0.225984528201221	0.255529344864875	ENSG00000003249	0.199259738659396
-0.0478228300050636	0.718935130266458	ENSG00000003393	0.133112643374967
0.0488616477324746	0.757332443183967	ENSG00000003400	0.158537418494724
0.0702425899765608	0.312770825918372	ENSG00000003402	0.0691634458788007
0.0767218596251547	0.609966190351662	ENSG00000003509	0.15073620466586
-0.112600010499285	0.119060673352514	ENSG00000003756	0.0717920179815858
-0.10054014767678	0.496821212745728	ENSG00000004059	0.148265850310352
0.00253693841337181	0.960968444053917	ENSG00000004142	0.0511347043388674
0.0634891469147868	0.259882788821684	ENSG00000004455	0.0557014430065066
0.505290251137361	0.000583702795393402	ENSG00000004468	0.146258207765004
-0.0600274828382862	0.445601020150211	ENSG00000004478	0.0784108044136174
0.0121445731239832	0.870011007206511	ENSG00000004487	0.0738948385570693
-0.158352240069708	0.0345579844507467	ENSG00000004534	0.0744216807319003
-0.0217153875552169	0.903470950939468	ENSG00000004700	0.179594263449881
0.0121020218941279	0.928506135932711	ENSG00000004766	0.135131548627381
0.11318078839265	0.425648099430365	ENSG00000004777	0.142319947599166
0.123200959149784	0.0151038267882243	ENSG00000004779	0.0497950882836163
0.136348624264304	0.303283764602543	ENSG00000004864	0.13260585847382
-0.193045460742546	0.0578975918022722	ENSG00000004866	0.101565242473585
0.0346089984027813	0.611044992402385	ENSG00000004897	0.0676348648683676
0.0461300425647475	0.611078717429254	ENSG00000004961	0.0905752721633947
-0.179073890153364	0.11026218558779	ENSG00000004975	0.11204107941987
-0.281661402279795	0.000598413457582752	ENSG00000005007	0.0812810075338632
-0.080425379188962	0.396122726028514	ENSG00000005020	0.094656911906003
-0.0911640152998235	0.0544913389248101	ENSG00000005022	0.0464915768089444
0.123852766801567	0.251269736548448	ENSG00000005059	0.107912701734143
0.0916600718298796	0.269044329918113	ENSG00000005075	0.0826629211623908
0.0516224248120793	0.524500858896334	ENSG00000005100	0.0808643877818267
-0.087468710637075	0.520443610553644	ENSG00000005156	0.136332449579735
-0.0422243061967727	0.729167547926473	ENSG00000005175	0.122100729816184
0.21908839050403	0.205212060424985	ENSG00000005187	0.173283937612014
0.00453119566535847	0.974909234239467	ENSG00000005189	0.14438477323939
0.00991292807349498	0.918819831025733	ENSG00000005194	0.0972037557813469
-0.226673876908319	0.0762854784081882	ENSG00000005206	0.127840744428134
0.228161414674773	0.15149960865679	ENSG00000005238	0.159307474141992
-0.0223701161698412	0.792414304360393	ENSG00000005302	0.0848120909350672
-0.0737535130178787	0.320133240402747	ENSG00000005339	0.0738247364418812
-0.129237128550256	0.464223822870127	ENSG00000005379	0.177046538251755
0.131149796283531	0.258242329175908	ENSG00000005436	0.116027324196554
0.0529482990491632	0.502377749368429	ENSG00000005448	0.0786615664345228
-0.117026080744642	0.415547927774044	ENSG00000005469	0.143996279998542
-0.28340062544638	0.124939371628247	ENSG00000005471	0.18502541519513
0.0149957658559585	0.842101513192119	ENSG00000005483	0.0749728855393602
0.24822229129248	0.00732679563151396	ENSG00000005486	0.0920745683555036
-0.0382177024260756	0.683665117420242	ENSG00000005700	0.0936930644699239
-0.225568432709246	0.0303561144578746	ENSG00000005801	0.103892998287036
0.113587821289643	0.0766920209030627	ENSG00000005810	0.0635828013199722
-0.119665950444638	0.266686168237338	ENSG00000005812	0.107698529704702
0.0219077128511644	0.768543600898805	ENSG00000005844	0.07412721294985
0.24575211787452	0.166217219910762	ENSG00000005884	0.177842288832339
-0.0931907098481673	0.465300033487914	ENSG00000005889	0.127792513294539
0.00123673358674792	0.9883388777153	ENSG00000005893	0.0844283844924163
0.043261643501408	0.676599922188812	ENSG00000006007	0.103711043396799
0.053734951201504	0.543923749065184	ENSG00000006015	0.0883766615949004
-0.0387386286395983	0.784607481473819	ENSG00000006025	0.14202844288977
-0.0574512575246832	0.718628776887571	ENSG00000006062	0.159864532715286
-0.0903315583759642	0.610622306361805	ENSG00000006118	0.177908452864665
-0.0366305342344665	0.69089766025117	ENSG00000006125	0.0920037527413535
-0.112473037122189	0.336261122027718	ENSG00000006194	0.117020628139954
0.412918403231971	0.00970939632516675	ENSG00000006282	0.159477074572844
0.2976994310155	0.0370331496065684	ENSG00000006432	0.142702976995969
0.0462260781254498	0.608091331278153	ENSG00000006451	0.0900018965554
0.023696838653132	0.899305148572268	ENSG00000006453	0.187857068457985
-0.00139966280687174	0.990463469248875	ENSG00000006530	0.117218903942365
0.0535318630287198	0.522273931627123	ENSG00000006576	0.0834439672449257
0.0676371828164352	0.572345895405458	ENSG00000006607	0.119913391096517
0.0217803149849956	0.785933988734092	ENSG00000006625	0.079949892559116
-0.0683073932331988	0.44989050410328	ENSG00000006634	0.0902457248808359
