logFC	P.Value	gene	SE
0.0429018419365385	0.621263337002497	ENSG00000000419	0.0840540743952676
-0.0971942391047905	0.746361399935581	ENSG00000000457	0.303104257159994
-0.00824870466584132	0.978604843470888	ENSG00000000460	0.310361863765272
-0.107844742137579	0.578009577844227	ENSG00000000938	0.194476100087662
-0.20006379837013	0.209501063998931	ENSG00000001036	0.158835870217843
-0.146815997616627	0.495797923279602	ENSG00000001084	0.216523177089158
0.127755253751562	0.434580011432942	ENSG00000001167	0.163334716703602
0.290425971886843	0.146602280924019	ENSG00000001461	0.200055962628887
-0.0743920150841988	0.517269060036275	ENSG00000001497	0.113352662043608
0.339415304178446	0.144811954958636	ENSG00000001561	0.233254342436949
0.015453636794067	0.910962796209633	ENSG00000001629	0.137549390767727
-0.0250414192447318	0.930443913474136	ENSG00000001630	0.289331088459179
-0.10484296515595	0.606687456669432	ENSG00000001631	0.204484390017061
-0.420684946323937	0.127439008621891	ENSG00000002016	0.276921735712695
0.0976192697465937	0.552350857837026	ENSG00000002330	0.164217343781484
0.089661304393118	0.255823678394061	ENSG00000002549	0.0754438995957315
0.00623450039327287	0.967647685109139	ENSG00000002586	0.153508282049829
0.971460312647533	0.0336891239812398	ENSG00000002586	0.45814295216022
0.132178250242269	0.704873208495771	ENSG00000002586	0.352305649065836
1.09740406249653	0.114727675906198	ENSG00000002586	0.700379019411537
-0.708125196250635	0.267178898457504	ENSG00000002586	0.644017036506217
0.133674201291809	0.547836136319207	ENSG00000002822	0.22356235854511
-0.159479073650965	0.34977502814807	ENSG00000002834	0.170464624865828
-0.0543205621522334	0.671516923043307	ENSG00000002919	0.127086393392519
-0.274242685152874	0.369621647722235	ENSG00000003056	0.307911016019216
0.242721485521036	0.513555175146829	ENSG00000003249	0.374957639108396
-0.461574306599049	0.0380407905385072	ENSG00000003393	0.221826925293247
-0.338600490808434	0.209269218043482	ENSG00000003400	0.270952159513109
0.193874445561648	0.0655112903145678	ENSG00000003402	0.102690259335117
0.0882577353160344	0.698928743981609	ENSG00000003509	0.22954423897959
