Treatment_logFC	Ancestry_logFC	P.Value	gene	SE
-0.0393545198081597	-0.0108389859920669	0.87996143990997	ENSG00000000419	0.0812936066667026
-0.127746449527678	0.129741189281882	0.477584867626731	ENSG00000000457	0.16964387512308
0.337355675723114	-0.447121415848035	0.00195161525025221	ENSG00000000460	0.18304616448476
-0.00921083093466112	-0.00432984895881387	0.996185544691842	ENSG00000000938	0.120288058351674
-0.0298577426154118	-0.110478711187645	0.56993688129656	ENSG00000001036	0.129600963326692
-0.107901484837479	-0.186255417721564	0.261832395068806	ENSG00000001084	0.152293680024463
-0.141432005398366	-0.181308092697153	0.125842233235444	ENSG00000001167	0.127416922610961
-0.223082656177479	0.187674781630867	0.166697266250859	ENSG00000001461	0.171133568631935
-0.0644604842965258	-0.136581485739425	0.101628992236004	ENSG00000001497	0.0824844722549078
-0.280174710219668	-0.0536569503860817	0.127376826077864	ENSG00000001561	0.140988652669369
0.0268991904302102	-0.0105244731093904	0.940392446836348	ENSG00000001629	0.0857000725660234
-0.31149536045385	-0.246740754679013	0.030193371839048	ENSG00000001630	0.161561269210982
-0.108942764010166	0.0188080471347786	0.755515690679052	ENSG00000001631	0.149744035035275
-0.127793094467149	-0.00112951239907087	0.731455506787159	ENSG00000002016	0.161944238324755
0.166246562255959	-0.0753737215094797	0.321579612142893	ENSG00000002330	0.127518075639264
-0.149430171154967	0.0444786960902042	0.0487748045553389	ENSG00000002549	0.0646467052684474
-0.12791898064307	0.0788895726448936	0.241908834976876	ENSG00000002586	0.095981946008247
-1.39341913121019	0.300169832936894	5.33803172764661e-09	ENSG00000002586	0.231687276023259
-1.84896227119246	0.095384089396589	1.00319588538167e-17	ENSG00000002586	0.203137196307404
-3.11446242175958	0.316664349688589	1.01199884642119e-16	ENSG00000002586	0.356259181711778
2.72687897985897	-0.253094619065439	8.018339805837e-15	ENSG00000002586	0.333066266774476
0.0150087522821985	-0.0669704951390319	0.783342101128018	ENSG00000002822	0.11946783633357
0.498194356623541	0.00157132299436146	0.000356438413442836	ENSG00000002834	0.12432644702913
0.0781573330172449	0.000905722433182143	0.759414549402653	ENSG00000002919	0.105347445631404
