Treatment_logFC	Ancestry_logFC	P.Value	gene	SE
-0.0216619196726188	-0.0517197661410944	0.601051031151447	ENSG00000000419	0.0557247616950886
-0.203591463694246	0.0863746435172305	0.15514709839935	ENSG00000000457	0.114119738418938
0.0465358705504874	-0.085775204120205	0.725879404798361	ENSG00000000460	0.121472444685335
-0.0368405806157554	-0.0524620396505511	0.731600208141813	ENSG00000000938	0.0816088484237494
0.0567966555158307	0.00609870627353314	0.801395532658003	ENSG00000001036	0.0860305272612901
-0.00466647786403578	-0.0414884034469984	0.916942430209428	ENSG00000001084	0.100532884796909
0.00210990451050391	-0.181100466097748	0.126440905849415	ENSG00000001167	0.0890348469680595
0.115229356921395	0.137838310729502	0.233297451438085	ENSG00000001461	0.106023276577346
-0.0648452358498748	-0.0297154329801295	0.501314730899712	ENSG00000001497	0.0609156103880479
-0.11484771934199	-0.098820274397326	0.278327848225021	ENSG00000001561	0.0953689629881401
-0.1210590817782	0.0220615961659767	0.154909259656334	ENSG00000001629	0.0634799724341885
0.192340736101359	-0.166702897872614	0.0662227615750154	ENSG00000001630	0.108564952822291
-0.118209440119513	-0.0542499971781299	0.42996216626498	ENSG00000001631	0.100673068054565
-0.0835268539159191	0.0181082024987413	0.757891548606495	ENSG00000002016	0.114665352589405
0.195886116007026	-0.0436854689254541	0.0655992396623699	ENSG00000002330	0.085704058181796
-0.0623988219277042	0.0709857598723177	0.0734697166183976	ENSG00000002549	0.0408445477757269
-0.0500848313728934	0.100346335205392	0.202298478129804	ENSG00000002586	0.0623285205101879
-0.0919408730811633	0.252973424106986	0.193529130200218	ENSG00000002586	0.148092746653036
-0.0360977750945213	0.0867070120792757	0.785873070408302	ENSG00000002586	0.134943020688243
-0.0779538168027908	0.239334100980869	0.548300281859816	ENSG00000002586	0.229236453368778
-0.0498064458490149	-0.171196928874437	0.708924403036321	ENSG00000002586	0.216147896716402
0.117945937485061	0.00582915179234825	0.33749307936826	ENSG00000002822	0.0801774845565964
0.128321380550319	0.0354108625996716	0.31770773051626	ENSG00000002834	0.0882210085237951
0.0249399534460948	-0.102863462788704	0.357808495474746	ENSG00000002919	0.0735973294714719
-0.00409142015856687	-0.164064014834994	0.356066526184028	ENSG00000003056	0.114362843948684
0.0185198682871032	0.33524195820344	0.0560654343896076	ENSG00000003249	0.140018500280614
0.093843263755043	0.0387536271074175	0.617159569282944	ENSG00000003393	0.103923812253244
0.0434969663260049	0.117839588683938	0.522466375235931	ENSG00000003400	0.110824559515043
0.0044575970477037	0.000709850167178684	0.995662243258993	ENSG00000003402	0.0483717326821205
-0.0562051892354128	0.0187843964674719	0.863450269427284	ENSG00000003509	0.10911857751994
0.0178959442961745	-0.0535922660934179	0.558601626122686	ENSG00000003756	0.0520398093640554
0.0844313439386914	-0.236154599053023	0.0703687149769446	ENSG00000004059	0.108435072884657
-0.00454148055208611	0.0248425751245353	0.782128739997519	ENSG00000004142	0.0356833198027111
-0.0427864051125451	0.0461922544771734	0.248131025085665	ENSG00000004455	0.0372093650782819
-0.0584323749070509	0.41039634090019	0.000649385955615364	ENSG00000004468	0.107728239288844
0.0879113391880472	0.0356135546208401	0.273167070331764	ENSG00000004478	0.0590332652273362
-0.030521226233203	-0.0381627632702147	0.599248278849778	ENSG00000004487	0.048435820993954
-0.0840925768665284	-0.17006857550267	0.00153370302885091	ENSG00000004534	0.0526679216594393
0.293026113211804	-0.0390262192709596	0.0546890333189679	ENSG00000004700	0.122440349297302
-0.159265581705819	-0.0367516437309942	0.265749820828126	ENSG00000004766	0.100742359050464
-0.00620499154400619	0.0557428209774483	0.855169838152011	ENSG00000004777	0.100262561142678
-0.0457414063623741	0.0900292629284595	0.0149497565472293	ENSG00000004779	0.0342975329502298
-0.149774475433741	0.107563093934999	0.128739103442161	ENSG00000004864	0.090526095341304
-0.0500338964667187	-0.114128417944298	0.207857466680285	ENSG00000004866	0.0705728184322412
-0.0241727874043269	0.0114723807095473	0.873783701679831	ENSG00000004897	0.051146886887333
-0.109550440871168	-0.0421814454767311	0.176188267311849	ENSG00000004961	0.0631671943976811
-0.0109733386109113	-0.111711653908246	0.369043763138307	ENSG00000004975	0.0796043518614059
-0.0520707423782331	-0.213130960619436	0.000948702341708965	ENSG00000005007	0.0586813279558085
-0.0120861962328361	-0.0126081737864939	0.961437630257497	ENSG00000005020	0.0626292795491301
0.0280028495657242	-0.119229642258874	0.00418811895109347	ENSG00000005022	0.0365466848498531
0.0267926820207858	0.0371493006715371	0.809427698713478	ENSG00000005059	0.0708557918511642
0.0754532125623863	0.0116297302033455	0.443580304750592	ENSG00000005075	0.0599106306834758
-0.0291047358435803	0.0184222018635318	0.80387636300572	ENSG00000005100	0.0517232541471784
0.0286341846112934	-0.0351472196862868	0.900992141918087	ENSG00000005156	0.0988032846582321
0.0908655510266521	-0.0504925849978002	0.464458234908033	ENSG00000005175	0.0835282724631773
-0.156467686261107	0.162783648336042	0.181433401428617	ENSG00000005187	0.121545101988489
-0.132238520763073	0.0664262310607457	0.363276135231129	ENSG00000005189	0.103563263215134
0.00793760705418094	-0.0262328989549978	0.925164441778772	ENSG00000005194	0.0692483143778647
-0.0549376651942754	-0.168578118502312	0.145781207905201	ENSG00000005206	0.0906831921877796
0.110168807471154	0.206958239934536	0.130405362218593	ENSG00000005238	0.116823412294079
-0.0381899768793525	0.000844371037067655	0.813634934208703	ENSG00000005302	0.0594013513289869
0.144757455492677	0.0332196230692044	0.0456591250774836	ENSG00000005339	0.0597836392485246
0.145030438158404	-0.0608959897229964	0.431317504752584	ENSG00000005379	0.120912101790391
-0.139523606930286	0.119139644321639	0.0816525150063288	ENSG00000005436	0.0814045924875079
-0.0254484068427156	0.0604672941010313	0.462079001999648	ENSG00000005448	0.0524381129389947
0.039062949547771	-0.235501730851307	0.0577897077658191	ENSG00000005469	0.0997495591246079
-0.112433657299855	-0.299084127506666	0.0433606087454358	ENSG00000005471	0.12807703133759
0.137451136622132	0.0312168340903046	0.0345619361706562	ENSG00000005483	0.0542883215249871
0.0187260940271215	0.163709928563216	0.0590663767543194	ENSG00000005486	0.0692617729269545
0.0839793898162374	0.0157673774417486	0.463294062981341	ENSG00000005700	0.0690100595425773
-0.041780742416209	-0.082567585087179	0.42160601110501	ENSG00000005801	0.0707375498142778
