Treatment_logFC	Ancestry_logFC	P.Value	gene	SE
-0.0459148273497002	-0.028036542277742	0.629472497040378	ENSG00000000419	0.0560696935612435
0.022299571901262	0.0240276122926283	0.96193526124474	ENSG00000000457	0.118654338101675
0.093429352581847	-0.268648296982362	0.0861424585675497	ENSG00000000460	0.128885231749168
0.0606933470323821	0.0705132876250691	0.512547343948055	ENSG00000000938	0.0810388128635718
-0.0256550828724344	-0.0363222505271367	0.889583704898542	ENSG00000001036	0.0926904123296863
-0.120186558515618	0.030924399918853	0.518993049819127	ENSG00000001084	0.108333556666447
0.00454533421532975	-0.000392452780602882	0.998728592662197	ENSG00000001167	0.0904874676925092
-0.0642759824457215	0.0890321078939449	0.625155259406229	ENSG00000001461	0.113501278322811
-0.0336089465125504	-0.0622936525346003	0.463814653304527	ENSG00000001497	0.0574186692352162
-0.2339060856304	0.0210443090735985	0.0654430110402981	ENSG00000001561	0.100475659089395
0.00761759643643248	0.121135814025994	0.179611930809328	ENSG00000001629	0.0658102335881745
-0.0555559571407334	-0.192242283313389	0.202129980734034	ENSG00000001630	0.112793834109708
0.061178178626691	-0.0230116216362266	0.806968873528728	ENSG00000001631	0.0997600401173433
0.0465462418389018	0.0469530302156343	0.850733356535767	ENSG00000002016	0.117219530057429
-0.0202062583122883	-0.0785741894512473	0.665500488079811	ENSG00000002330	0.0906194103355162
0.00783320309859949	0.0568834918159597	0.416907716856755	ENSG00000002549	0.0434781732216678
-0.0685149588078469	0.0936146079849259	0.212134621893918	ENSG00000002586	0.0658131914598503
-0.256033237904878	0.261424438528047	0.072996005980522	ENSG00000002586	0.159934369702885
-0.220561544580633	0.079927495003321	0.249502667572562	ENSG00000002586	0.140728109837259
-0.408079823677665	0.247737325546441	0.151628306923097	ENSG00000002586	0.245722907686903
0.200225631663683	-0.245052294042028	0.396482869924717	ENSG00000002586	0.233098570980591
0.184691393843406	-0.0321992085969171	0.0828741130597052	ENSG00000002822	0.0838499479807617
0.264203888527869	0.0491179610234731	0.0112314590103364	ENSG00000002834	0.0896557917193946
0.000992256189217726	-0.0210792282666115	0.960168168239281	ENSG00000002919	0.0744378788322479
0.0453912650987197	-0.167497609435938	0.326288292346919	ENSG00000003056	0.116497544173778
0.0155781496152407	0.313615312618339	0.109267448491386	ENSG00000003249	0.150257926556124
0.00810849072147585	0.128542695990704	0.542821433976567	ENSG00000003393	0.117406173830102
0.158140515829679	0.212376553609385	0.0677535748857835	ENSG00000003400	0.114934275216355
0.0599730079943332	0.00875656799498903	0.452998055891893	ENSG00000003402	0.0480359753966685
-0.0829211085987205	-0.0958001855914401	0.549279300899236	ENSG00000003509	0.116694309689153
0.0201976437225735	-0.00859033920176639	0.920556225088069	ENSG00000003756	0.0537412202091255
0.323471446057125	-0.185544378347025	0.0064683542411297	ENSG00000004059	0.117088135277153
0.0472743564507565	0.0153908467535836	0.403218652431167	ENSG00000004142	0.036689541506659
0.00627353023660157	-0.00384809862776364	0.977966947533408	ENSG00000004455	0.034506984662149
0.11669073539415	0.328524717638182	0.00781031480966004	ENSG00000004468	0.112587028591073
0.00587826679008247	0.0198863554876277	0.945896827432809	ENSG00000004478	0.0625769130941395
-0.0185578775934248	-0.119593008916192	0.0330449584513999	ENSG00000004487	0.0463888687785077
0.00374362468344598	-0.0990655389273493	0.167785230379142	ENSG00000004534	0.0525837126865962
-0.191995648074786	0.0928873405172375	0.262164396524716	ENSG00000004700	0.130266480060994
-0.0138777050708447	-0.015283298058225	0.981240390906835	ENSG00000004766	0.106949892572555
-0.0621186021547449	-0.00658938698460723	0.842553071496085	ENSG00000004777	0.106954055111973
-0.0493239830638327	0.054627094408318	0.103701349903288	ENSG00000004779	0.0342041347273672
0.0926864283867547	0.0919976152422551	0.341431317611293	ENSG00000004864	0.0896837260475873
0.0390250791682838	0.0270028799748145	0.791062119969793	ENSG00000004866	0.0696566419550753
0.00812687048359916	0.0634234630856296	0.476141689723579	ENSG00000004897	0.0526954292171956
-0.102872266546386	-0.0753016189467402	0.141191046484591	ENSG00000004961	0.0646622733046636
0.0132580392867115	-0.0689274457427544	0.706485705053314	ENSG00000004975	0.0846173204592817
0.0357208016099617	-0.0836650607175565	0.313766704100572	ENSG00000005007	0.0597823724487534
-0.0289195210683072	-0.0259700556018564	0.8319230074363	ENSG00000005020	0.0644177029839317
-0.0401445088022044	-0.132438083803051	0.00286899921927422	ENSG00000005022	0.0403620580966413
-0.0870345946543234	0.0194173074581774	0.43175273906808	ENSG00000005059	0.0686690205274446
0.112417522739257	-0.0166470452169168	0.153367640669559	ENSG00000005075	0.0584884344134172
0.11186103259773	0.004380214052288	0.0644519995199978	ENSG00000005100	0.0475771012647782
0.0956455958094906	0.107351531256304	0.391144394767278	ENSG00000005156	0.105742485818728
0.0131289615853585	-0.0979691610791948	0.526027719470396	ENSG00000005175	0.0876726374356191
-0.403527663407395	0.0784800374114051	0.00651738807528173	ENSG00000005187	0.129259978810992
0.158274554279533	0.0212169623017466	0.324267410025119	ENSG00000005189	0.106599975234471
-0.0109642095617192	-0.0786242958399345	0.526013335804445	ENSG00000005194	0.070473532647663
0.0565416574514025	-0.0557104670520403	0.682906011424817	ENSG00000005206	0.0908998048346371
0.0519410291824546	0.0913520101386498	0.686117444613228	ENSG00000005238	0.122163021067598
0.044552964884036	-0.00657790490254015	0.761658447636077	ENSG00000005302	0.0609058759700365
0.104133119539208	0.152903220412026	0.017679613205169	ENSG00000005339	0.0653952443755266
-0.0603541624381459	-0.076371781955959	0.731420785838355	ENSG00000005379	0.12414557571389
-0.0894160615269716	0.00181799320107233	0.542142069787401	ENSG00000005436	0.0808297631755293
-0.00282953297740896	0.0290449832562003	0.846249973287431	ENSG00000005448	0.0506243282945087
-0.0143932516603521	-0.179491093539339	0.209463016076015	ENSG00000005469	0.102534448532305
-0.200606793349734	-0.262497167299358	0.0502981588368948	ENSG00000005471	0.136080852609386
0.0808284774631268	0.10655165371355	0.0459895634255244	ENSG00000005483	0.0540632620915775
0.0803882236202925	-0.042517222638481	0.446604971772943	ENSG00000005486	0.071470197111325
0.0100123531525188	0.12771385497727	0.211838259069151	ENSG00000005700	0.0731178803907853
0.0590422289229956	-0.031297986393405	0.622065166868563	ENSG00000005801	0.068433607176853
