Treatment_logFC	Ancestry_logFC	P.Value	gene	SE
-0.0431358520085515	-0.0186838714942767	0.837798821739497	ENSG00000000419	0.0803844469562371
-0.1363247600641	0.0511955775068587	0.677469789739115	ENSG00000000457	0.173010664205417
0.491260107020649	-0.338039070367906	0.00230207714788224	ENSG00000000460	0.187186326531959
-0.0275555606411596	0.0236084010939573	0.94448581862769	ENSG00000000938	0.120393083588077
-0.0122752499865846	-0.11582203765949	0.534521495126066	ENSG00000001036	0.126063461977556
-0.0818518306933141	-0.100611053116341	0.627062409373615	ENSG00000001084	0.149780399023594
-0.0756333827966744	-0.0668045479438248	0.683115756060238	ENSG00000001167	0.124691958633708
-0.118543565002119	0.176469048833218	0.308745006817101	ENSG00000001461	0.163063934095298
-0.0930965698042339	-0.151392350818972	0.0537923325821376	ENSG00000001497	0.08357290138461
0.145185429661518	-0.0270880012375714	0.565591494849007	ENSG00000001561	0.141010089163803
-0.0478782612821321	-0.0027245317821652	0.860918523775602	ENSG00000001629	0.087375498437909
-0.458102903592831	-0.206360845331395	0.00728391219712931	ENSG00000001630	0.163348443948631
-0.242561097469165	-0.0228493914269561	0.249883033511089	ENSG00000001631	0.146148394818912
0.0178245012954017	-0.136061115116557	0.594492788938926	ENSG00000002016	0.164358955026336
0.267422472211576	-0.0418741760656488	0.0824524581647235	ENSG00000002330	0.122763172464313
-0.100381057894483	0.0721212105770433	0.10402398460062	ENSG00000002549	0.0634585928027141
-0.0597914317067248	0.154468560434875	0.117229618294963	ENSG00000002586	0.0961917921785663
-1.45251289190132	0.400980683278857	4.12871766330784e-10	ENSG00000002586	0.232420492728383
-1.82051112200778	0.131942506389038	2.10721490311833e-17	ENSG00000002586	0.202999484884201
-3.21323258220238	0.378454629233019	6.50146076055928e-18	ENSG00000002586	0.355799653971774
2.83958163499074	-0.185570718561373	8.44147877392561e-16	ENSG00000002586	0.334010623305189
0.0732457493338321	-0.00883778236924447	0.838901435003849	ENSG00000002822	0.125899188933446
0.471033271466789	0.00542442905167373	0.000895849422313946	ENSG00000002834	0.125158726153649
0.174039644612592	-0.0548591412921264	0.195050818501805	ENSG00000002919	0.104467702395215
-0.00307475462228885	-0.220320250879211	0.29514358300178	ENSG00000003056	0.171825202966774
-0.093145128013897	0.399931489219014	0.0619095060379181	ENSG00000003249	0.211833126281076
0.0751759146864718	-0.000685399578226872	0.898590110910294	ENSG00000003393	0.163161946211447
-0.0151931553948302	0.0741373504033664	0.854071458181621	ENSG00000003400	0.16439480792864
0.0992759933744776	-0.0119369849865036	0.358049315518825	ENSG00000003402	0.0701013899769484
0.0326231314311761	-0.0111839982681524	0.975695392642645	ENSG00000003509	0.162191484807743
0.0237374587615259	-0.0150388371610064	0.927683536612705	ENSG00000003756	0.0787252350571317
0.839346861655048	-0.311370410006252	1.40060509209055e-07	ENSG00000004059	0.164659714677001
0.015900281677787	0.0298243917755044	0.762187085656657	ENSG00000004142	0.052352749697769
-0.0845313351453656	0.0103521116940507	0.240290889319565	ENSG00000004455	0.0502698845676602
-0.24828494193891	0.199969059431206	0.102729904745793	ENSG00000004468	0.166476508922803
0.125364846012174	0.0954163697001126	0.178595439097972	ENSG00000004478	0.0899307546562567
-0.252616427016259	-0.110615182049849	0.000134735054910569	ENSG00000004487	0.065767461873163
-0.189686842384074	-0.130529203653743	0.00986278450788036	ENSG00000004534	0.0792219451370577
0.192468051716963	-0.113635564417681	0.408015933254223	ENSG00000004700	0.18090915923393
0.0243798260277063	-0.116880305744805	0.632741846986807	ENSG00000004766	0.152164801754183
0.09348604292878	-0.0705136803334528	0.682258892305994	ENSG00000004777	0.148430590939422
-0.256463102366559	0.0539010071528479	4.77609441389465e-07	ENSG00000004779	0.04829031562317
-0.0396033600194769	0.0176408186286826	0.939948795333126	ENSG00000004864	0.130494317289698
-0.0181977949146931	-0.0411624692601203	0.871894377628038	ENSG00000004866	0.100403338842537
-0.0211432430313338	-0.00263680184603328	0.963484113393779	ENSG00000004897	0.0777539245705604
-0.355930553733192	-0.0710761070305924	0.000483645854970225	ENSG00000004961	0.0922031438441994
0.0280645256437429	0.00198144681497357	0.971216075888446	ENSG00000004975	0.116331576379461
0.103848221886826	-0.0951090163876554	0.191339624293522	ENSG00000005007	0.0870359356478298
-0.082155363304478	0.0141753798655945	0.605578227543466	ENSG00000005020	0.0843881593545703
0.0653326326681471	-0.1227755989458	0.0188299053870213	ENSG00000005022	0.0580563174254828
0.163825433199861	-0.0424279623694469	0.1828288194934	ENSG00000005059	0.0941462723104537
0.00867401941785262	-0.0464567783322761	0.813358162145415	ENSG00000005075	0.0894220369998296
0.0891345866848865	-0.0267811116126582	0.361158748012081	ENSG00000005100	0.0670228331249338
-0.0545178346435228	0.116437316211487	0.597251300913711	ENSG00000005156	0.151900655936657
0.0987521946968418	-0.0866780716569751	0.455693410465717	ENSG00000005175	0.117706728034776
-0.0978780767542787	0.0800556054095876	0.748182551409102	ENSG00000005187	0.185591473260737
-0.122216572327612	0.071878656147018	0.613889081953448	ENSG00000005189	0.155485574212693
-0.00365863737384735	-0.0284928685781885	0.943110807305295	ENSG00000005194	0.101425589739044
0.309972450484738	-0.120288230365861	0.0329515047686191	ENSG00000005206	0.133214180420029
-0.00994235223089754	0.146361157969215	0.599869478277621	ENSG00000005238	0.177269054925061
-0.150820968320381	0.00874107721168964	0.226611418668374	ENSG00000005302	0.0878367612676385
