logFC	P.Value	gene	SE
-0.0601142149523283	0.415971483741912	ENSG00000000419	0.0735463713681002
-0.219028584092875	0.164663026349868	ENSG00000000457	0.157840811009837
0.109505102771057	0.533595595896788	ENSG00000000460	0.176379544143154
-0.20876374734815	0.0658542621974926	ENSG00000000938	0.113342803757051
-0.11144653978055	0.360779919823205	ENSG00000001036	0.12203785597477
0.140111269248947	0.364309783276887	ENSG00000001084	0.15475053287874
-0.13316269817271	0.303333811106677	ENSG00000001167	0.129494648637268
0.120550328112258	0.432837945048285	ENSG00000001461	0.154014718618253
-0.0107854633826608	0.893903444172912	ENSG00000001497	0.0806329119693979
0.112721485904143	0.407622905783489	ENSG00000001561	0.136323017588366
0.0627993276730257	0.546615851619247	ENSG00000001629	0.104152643917774
-0.078190864801447	0.623173905995915	ENSG00000001630	0.159521255310778
-0.152955140029435	0.28530849246568	ENSG00000001631	0.143359481828684
0.284251276544822	0.0889850244216455	ENSG00000002016	0.167297313289147
0.118645638007644	0.364643895498565	ENSG00000002330	0.131028818029025
0.109974735328563	0.0371568432494874	ENSG00000002549	0.0519389250837548
0.123894370988035	0.199086474933388	ENSG00000002586	0.0963124727973884
0.22461944348213	0.297028909279605	ENSG00000002586	0.215997195618276
0.0167985524940487	0.934265529716031	ENSG00000002586	0.204348694972071
0.117523624988143	0.726210470466038	ENSG00000002586	0.336960817657005
0.0344972622127365	0.912120546479932	ENSG00000002586	0.313827802315266
0.0253691884758491	0.820222828474193	ENSG00000002822	0.11169606602552
-0.0903661467346333	0.482237565502063	ENSG00000002834	0.128760170373389
0.0426102813466821	0.647867186683851	ENSG00000002919	0.0931824434999099
0.11137688604473	0.47681388482513	ENSG00000003056	0.156899271549544
-0.163867652860708	0.434101455865954	ENSG00000003249	0.210132083017548
0.263103355116582	0.106325086815317	ENSG00000003393	0.163095310595366
0.0788353916937976	0.630297695457476	ENSG00000003400	0.1642128840828
0.0819615213113374	0.225249115765776	ENSG00000003402	0.0671090116291573
-0.00966073178616694	0.951136014248996	ENSG00000003509	0.158050756031215
