"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"
0.401199932729576	0.415971483741912	0.621263337002497	0.373643913506252	0.50870690320906	0.0746768185804578	0.893343810201786	0.799420316359781	0.260604620658547	0.650367491634501	0.431015348775551	0.663637181398715
0.30723865540158	0.164663026349868	0.746361399935581	0.613708442970987	0.292141358767559	0.877846788772163	0.268057740060217	0.72964547804778	0.64618110935958	0.495468305526726	0.273608117302588	0.570580496929296
0.0509036201624862	0.533595595896788	0.978604843470888	0.111736404672944	0.694376354983903	0.00650244820726549	0.329536307876686	0.698271360058126	0.798877882191365	0.81507268916677	0.00177073686277255	0.0156306019959528
0.205715080098708	0.0658542621974926	0.578009577844227	0.153365394690073	0.375381683409304	0.517780118915121	0.614741787315523	0.448336324003803	0.744331166767739	0.610121451006758	0.247673783573551	0.605187318213465
0.364244602797128	0.360779919823205	0.209501063998931	0.364805496382979	0.826111642005843	0.362539454684223	0.421126564261546	0.801719133386862	0.0864590423493474	0.950259408392297	0.907026871673744	0.454399238861051
0.0194076090543939	0.364309783276887	0.495797923279602	0.964822608144499	0.466837858264144	0.630239352752867	0.00539044636741243	0.263300106464383	0.317997294713861	0.0427667620866749	0.964656131939333	0.543082116366267
0.0297691986032424	0.303333811106677	0.434580011432942	0.0592586733598692	0.999371613222569	0.14534846409338	0.298425185769723	0.263675964881015	0.845091451763711	0.852833267926947	0.219484894072236	0.330021395978364
0.216218420329135	0.432837945048285	0.146602280924019	0.34232165604027	0.381811867977203	0.934370685833123	0.538417412361452	0.904365053661822	0.296918525673133	0.0995736700786023	0.126441462944467	0.366191667012306
0.962159912653382	0.893903444172912	0.517269060036275	0.200031625344663	0.487629791791117	0.25096135840082	0.623562986518834	0.33808023930426	0.318950134466596	0.610960106238897	0.0740215929976923	0.0363236041056567
0.351064764245188	0.407622905783489	0.144811954958636	0.602941180195749	0.532635307496723	0.587078811095385	0.194711929987627	0.17647504789013	0.550737330985739	0.0708500523554899	0.342289378258723	0.342666215544977
0.858384318564047	0.546615851619247	0.910962796209633	0.585830808887454	0.0199725757034423	0.934972489212345	0.781552710514605	0.00677357920730272	0.882123511824737	0.910306841618896	0.411727148266979	0.927366326657663
0.423178038844584	0.623173905995915	0.930443913474136	0.622407130439707	0.853696919137771	0.343074943479516	0.764255127488641	0.493269381344564	0.912769495822551	0.631780567142803	0.924653999766813	0.0922667428031485
0.697452746818877	0.28530849246568	0.606687456669432	0.443877870513744	0.951234558558217	0.544680948695741	0.375298475634544	0.706319616153035	0.85353921564242	0.270397532341979	0.957311537376243	0.99586357128457
0.389761654768691	0.0889850244216455	0.127439008621891	0.566612993849422	0.928468916694939	0.832387473065132	0.0620283089841913	0.311234141838282	0.877157527106462	0.550525377935984	0.127622031227769	0.700374330651694
0.772434875451065	0.364643895498565	0.552350857837026	0.953263742647889	0.897887765219645	0.451029006160932	0.95177590255558	0.568611558880648	0.0704635698694478	0.136579344776275	0.683169300386921	0.508590018947524
0.650536999431851	0.0371568432494874	0.255823678394061	0.154294561924329	0.469182976139474	0.0683932216904864	0.78028007415097	0.447848793683231	0.951645047361502	0.818282142674221	0.0237006096312364	0.289947541263266
0.0160082305977558	0.199086474933388	0.967647685109139	0.959049845710177	0.581121945253356	0.543114192840452	0.947496252862603	0.73064209708756	0.956603382502182	0.797930631750514	0.227649026146273	0.0343231863311522
0.267045446878605	0.297028909279605	0.0336891239812398	0.217775032389205	0.807646817409882	0.227588579680444	0.0770114955167204	0.253756954806352	0.107411289597042	0.606986141658761	0.643422336751954	0.23463147205883
