"ACRYL"	"BAFF"	"BPA"	"ETOH"	"FSL1"	"GARD"	"IFNG"	"IGF"	"PFOA"	"DEX"	"TUNIC"
0.0812936066667026	0.0548993885652209	0.0803844469562371	0.0557247616950886	0.0664742690275511	0.0585767261915144	0.0526273104429036	0.0560696935612435	0.0826949451239485	0.0533765117832362	0.0556561676579783
0.16964387512308	0.113099514782609	0.173010664205417	0.114119738418938	0.141829805778199	0.113135624141504	0.112953708821584	0.118654338101675	0.165483676202657	0.114143822895584	0.114097439580964
0.18304616448476	0.125210751490828	0.187186326531959	0.121472444685335	0.156650712020363	0.119768238054822	0.123684927276277	0.128885231749168	0.182477319953416	0.120041727654022	0.121617695422983
0.120288058351674	0.0806965408320489	0.120393083588077	0.0816088484237494	0.101924839347353	0.0824834091463199	0.0817790574327806	0.0810388128635718	0.120730043022832	0.0791167254983652	0.0807534018147084
0.129600963326692	0.0873226714347066	0.126063461977556	0.0860305272612901	0.111520794528385	0.0899113410565193	0.0861432439779005	0.0926904123296863	0.13249356383341	0.0827851434603286	0.090861085371878
0.152293680024463	0.105992202326469	0.149780399023594	0.100532884796909	0.127055524370652	0.102656900759381	0.09595739737602	0.108333556666447	0.14706566113889	0.0977302432483892	0.0995744154217598
0.127416922610961	0.0890047143614364	0.124691958633708	0.0890348469680595	0.109451200942272	0.0930077720975471	0.0960873509069434	0.0904874676925092	0.124282568900728	0.0919545153369052	0.0943107206771067
0.171133568631935	0.111912966890558	0.163063934095298	0.106023276577346	0.138180642386555	0.111642416535989	0.1068918701789	0.113501278322811	0.167544387945276	0.100616550968026	0.0983856653559619
0.0824844722549078	0.0575632173784233	0.08357290138461	0.0609156103880479	0.0711849923153902	0.057458112089363	0.0575725649511519	0.0574186692352162	0.086817194692131	0.0576435745175932	0.0617748847878661
0.140988652669369	0.0952359975086316	0.141010089163803	0.0953689629881401	0.11658438055871	0.0975857955178179	0.100924887955542	0.100475659089395	0.141999975133101	0.0902827867467576	0.0993038984944657
