Family.ID	Individual.ID	LCL Catalog ID in Coriell system	Paternal.ID	Maternal.ID	Gender	Phenotype	Population	Relationship	Siblings	Second.Order	Third.Order	Other.Comments	id	batch
HG00181	HG00181	HG00181	0	0	1	0	FIN	unrel	0	0	0	0	483	3
HG00335	HG00335	HG00335	0	0	1	0	FIN	unrel	0	0	0	0	495	3
IBS037	HG01703	HG01703	HG01705	HG01704	1	0	IBS	child	0	0	0	0	507	3
NG28	HG03105	HG03105	0	0	2	0	ESN	mother	0	0	0	0	519	3
SL11	HG03082	HG03082	0	0	2	0	MSL	mother	0	0	0	0	531	3
HG00133	HG00133	HG00133	0	0	2	0	GBR	unrel	0	0	0	0	543	3
GB84	HG02869	HG02869	0	0	1	0	GWD	father	0	0	0	0	555	3
NA19377	NA19377	GM19377	0	0	2	0	LWK	unrel	0	0	0	0	567	3
HG00365	HG00365	HG00365	0	0	2	0	FIN	unrel	0	0	0	0	579	3
HG00309	HG00309	HG00309	0	0	2	0	FIN	unrel	0	0	0	0	591	3
HG00306	HG00306	HG00306	0	0	2	0	FIN	unrel	0	0	0	0	4	4
GB108	HG03034	HG03034	0	0	2	0	GWD	mother	0	0	0	0	16	4
NG33	HG03120	HG03120	0	0	1	0	ESN	father	0	0	0	0	28	4
HG00250	HG00250	HG00250	0	0	2	0	GBR	unrel	0	0	0	0	40	4
HG00343	HG00343	HG00343	0	0	2	0	FIN	unrel	0	0	0	0	52	4
NA19315	NA19315	GM19315	0	0	2	0	LWK	unrel	0	0	0	0	64	4
NA20807	NA20807	GM20807	0	0	2	0	TSI	unrel	0	0	0	0	76	4
NG107	HG03515	HG03515	0	0	1	0	ESN	father	0	0	0	0	88	4
1331	GM07340	GM07340	0	0	2	0	CEU	pat grandmother	0	0	0	0	100	4
1344	GM12056	GM12056	0	0	1	0	CEU	pat grandfather	0	0	0	0	112	4
NA20802	NA20802	GM20802	0	0	2	0	TSI	unrel	0	0	0	0	124	4
GB45	HG02704	HG02704	HG02702	HG02703	2	0	GWD	child	0	0	0	0	136	4
1451	GM12767	GM12767	GM12777	GM12778	2	0	CEU	mother	0	0	0	0	148	4
HG03057	HG03057	HG03057	0	0	1	0	MSL	unrel	0	0	0	0	160	4
IBS026	HG01672	HG01672	0	0	1	0	IBS	father	0	0	0	0	172	4
IBS001	HG01500	HG01500	0	0	1	0	IBS	father	0	0	0	0	184	4
NA20773	NA20773	GM20773	0	0	2	0	TSI	unrel	0	0	0	0	196	4
HG00376	HG00376	HG00376	0	0	2	0	FIN	unrel	0	0	0	0	208	4
IBS041	HG01746	HG01746	0	0	2	0	IBS	mother	0	0	0	0	220	4
Y036	NA18934	GM18934	0	0	1	0	YRI	father	0	0	0	0	232	4
NG96	HG03363	HG03363	0	0	2	0	ESN	mother	0	0	0	0	244	4
IBS016	HG01625	HG01625	0	0	1	0	IBS	father	0	0	0	0	256	4
Y092	NA19258	GM19258	NA19256	NA19257	1	0	YRI	child	0	0	0	0	268	4
NA19474	NA19474	GM19474	0	0	2	0	LWK	unrel	0	0	0	0	280	4
NG73	HG03294	HG03294	0	0	2	0	ESN	mother	0	0	0	0	292	4
IBS018	HG01620	HG01620	0	0	2	0	IBS	mother	0	0	0	0	304	4
HG00344	HG00344	HG00344	0	0	2	0	FIN	unrel	0	0	0	0	316	4
HG00368	HG00368	HG00368	0	0	2	0	FIN	unrel	0	0	0	0	328	4
Y058	NA19223	GM19223	0	0	1	0	YRI	father	0	0	0	0	340	4
IBS053	HG01784	HG01784	0	0	2	0	IBS	mother	0	0	0	0	352	4
Y014	NA18519	GM18519	0	0	1	0	YRI	father	0	0	0	0	364	4
NG102	HG03499	HG03499	0	0	2	0	ESN	unrel	0	0	0	0	376	4
NA20536	NA20536	GM20536	0	0	1	0	TSI	unrel	0	0	0	0	388	4
Y007	NA18869	GM18869	NA18868	NA18867	1	0	YRI	child	0	0	0	0	400	4
IBS048	HG01768	HG01768	0	0	2	0	IBS	mother	0	0	0	0	412	4
NA19395	NA19395	GM19395	0	0	2	0	LWK	unrel	0	0	0	0	424	4
SL09	HG03076	HG03076	0	0	2	0	MSL	mother	0	0	0	0	436	4
HG00288	HG00288	HG00288	0	0	2	0	FIN	unrel	0	0	0	0	448	4
HG00249	HG00249	HG00249	0	0	2	0	GBR	unrel	0	0	0	0	460	4
NG60	HG03203	HG03203	HG03202	0	2	0	ESN	child	0	0	0	0	472	4
SL30	HG03381	HG03381	HG03394	0	2	0	MSL	child	0	0	0	0	484	4
NA20771	NA20771	GM20771	0	0	2	0	TSI	unrel	0	0	0	0	496	4
SL15	HG03095	HG03095	0	0	2	0	MSL	child	0	0	0	0	508	4
NG26	HG03100	HG03100	0	0	1	0	ESN	father	0	0	0	0	520	4
SL07	HG03069	HG03069	0	0	1	0	MSL	father	0	0	0	0	532	4
HG00323	HG00323	HG00323	0	0	2	0	FIN	unrel	0	0	0	0	544	4
HG00272	HG00272	HG00272	0	0	2	0	FIN	unrel	0	0	0	0	556	4
Y040	NA19094	GM19094	NA19092	NA19093	2	0	YRI	child	0	0	0	0	568	4
Y027	NA18911	GM18911	NA18910	NA18909	1	0	YRI	child	0	0	0	0	580	4
Y101	NA19132	GM19132	NA19130	NA19131	2	0	YRI	child	0	0	0	0	592	4
IBS050	HG01774	HG01774	HG01775	HG01773	1	0	IBS	child	0	0	0	0	5	5
HG00259	HG00259	HG00259	0	0	2	0	GBR	unrel	0	0	0	0	17	5
SL04	HG03061	HG03061	0	0	2	0	MSL	mother	0	0	0	0	29	5
HG00254	HG00254	HG00254	0	0	2	0	GBR	unrel	0	0	0	0	41	5
Y002	NA18485	GM18485	NA18487	NA18489	1	0	YRI	child	0	0	0	0	53	5
1341	GM07048	GM07048	GM07034	GM07055	1	0	CEU	father	0	0	0	0	65	5
NA19323	NA19323	GM19323	0	0	2	0	LWK	unrel	0	0	0	0	77	5
1459	GM12873	GM12873	0	0	2	0	CEU	pat grandmother	0	0	0	0	89	5
NA20532	NA20532	GM20532	0	0	1	0	TSI	unrel	0	0	0	0	101	5
SL72	HG03577	HG03577	0	0	1	0	MSL	father	0	0	0	0	113	5
SL57	HG03474	HG03474	0	HG03473	1	0	MSL	child	0	0	0	0	125	5
HG00183	HG00183	HG00183	0	0	1	0	FIN	unrel	0	0	0	0	137	5
HG00384	HG00384	HG00384	0	0	2	0	FIN	unrel	0	0	0	0	149	5
1444	GM12740	GM12740	GM12750	GM12751	2	0	CEU	mother	0	0	0	0	161	5
SL08	HG03072	HG03072	0	0	1	0	MSL	father	0	0	0	0	173	5
HG03445	HG03445	HG03445	0	0	1	0	MSL	unrels	0	0	0	0	185	5
NG63	HG03265	HG03265	0	0	1	0	ESN	father	0	0	0	0	197	5
HG00270	HG00270	HG00270	0	0	2	0	FIN	unrel	0	0	0	0	209	5
IBS060	HG02232	HG02232	0	0	2	0	IBS	mother	0	0	0	0	221	5
SL32	HG03401	HG03401	0	0	2	0	MSL	mother	0	0	0	0	233	5
GB43	HG02675	HG02675	0	0	1	0	GWD	father	0	0	0	0	245	5
NA20537	NA20537	GM20537	0	0	1	0	TSI	unrel	0	0	0	0	257	5
NA19378	NA19378	GM19378	0	0	2	0	LWK	unrel	0	0	0	0	269	5
NG65	HG03270	HG03270	0	0	2	0	ESN	mother	0	0	0	0	281	5
GB117	HG03251	HG03251	HG03249	HG03250	2	0	GWD	child	0	0	0	0	293	5
NA20803	NA20803	GM20803	0	0	1	0	TSI	unrel	0	0	0	0	305	5
Y003	NA18498	GM18498	0	0	1	0	YRI	father	0	0	0	0	317	5
HG00383	HG00383	HG00383	0	0	2	0	FIN	unrel	0	0	0	0	329	5
HG00361	HG00361	HG00361	0	0	2	0	FIN	unrel	0	0	0	0	341	5
GB25	HG02589	HG02589	0	0	2	0	GWD	mother	0	0	0	0	353	5
NA20796	NA20796	GM20796	0	0	1	0	TSI	unrel	0	0	0	0	365	5
NA19393	NA19393	GM19393	0	0	1	0	LWK	unrel	0	0	0	0	377	5
NG89	HG03343	HG03343	0	0	1	0	ESN	father	0	0	HG03352	0	389	5
Y061	NA19123	GM19123	NA19121	NA19122	1	0	YRI	child	0	0	0	0	401	5
NG37	HG03134	HG03134	HG03133	HG03132	1	0	ESN	child	0	0	0	0	413	5
HG00353	HG00353	HG00353	0	0	2	0	FIN	unrel	0	0	0	0	425	5
NA19017	NA19017	GM19017	0	0	2	0	LWK	unrel	0	0	0	0	437	5
Y009	NA18506	GM18506	NA18507	NA18508	1	0	YRI	child	0	0	0	0	449	5
NG76	HG03305	HG03305	HG03304	HG03303	2	0	ESN	child	0	0	0	0	461	5
NA20811	NA20811	GM20811	0	0	1	0	TSI	unrel	0	0	0	0	473	5
GB23	HG02582	HG02582	0	0	1	0	GWD	father	0	0	0	0	485	5
IBS015	HG01628	HG01628	0	0	2	0	IBS	mother	0	0	0	0	497	5
NA19044	NA19044	GM19044	0	0	1	0	LWK	unrel	0	0	0	0	509	5
NA20511	NA20511	GM20511	0	0	1	0	TSI	unrel	0	0	0	0	521	5
HG00332	HG00332	HG00332	0	0	2	0	FIN	unrel	0	0	0	0	533	5
NG29	HG03109	HG03109	0	0	1	0	ESN	father	0	0	0	0	545	5
Y051	NA19208	GM19208	NA19207	NA19206	1	0	YRI	child	0	0	0	0	557	5
1345	GM07349	GM07349	GM07347	GM07346	1	0	CEU	father	0	0	0	0	569	5
Y030	NA18917	GM18917	0	0	1	0	YRI	father	0	0	0	0	581	5
IBS061	HG02236	HG02236	0	0	1	0	IBS	father	0	0	0	0	593	5
HG00104	HG00104	HG00104	0	0	2	0	GBR	unrel	0	0	0	0	6	6
NA19318	NA19318	GM19318	0	0	1	0	LWK	unrel	0	0	0	0	18	6
GB44	HG02680	HG02680	HG02678	HG02679	2	0	GWD	child	0	0	0	0	30	6
HG00263	HG00263	HG00263	0	0	2	0	GBR	unrel	0	0	0	0	42	6
NA19319	NA19319	GM19319	0	0	1	0	LWK	unrel	0	0	0	0	54	6
IBS046	HG01761	HG01761	0	0	1	0	IBS	father	0	0	0	0	66	6
HG00366	HG00366	HG00366	0	0	1	0	FIN	unrel	0	0	0	0	78	6
HG00251	HG00251	HG00251	0	0	1	0	GBR	unrel	0	0	0	0	90	6
GB57	HG02770	HG02770	HG02768	HG02769	2	0	GWD	child	0	0	0	0	102	6
NG99	HG03374	HG03374	HG03373	HG03372	2	0	ESN	child	0	0	0	0	114	6
HG03393	HG03393	HG03393	0	0	2	0	MSL	unrel	0	0	0	0	126	6
1334	GM10847	GM10847	GM12146	GM12239	2	0	CEU	mother	0	0	0	0	138	6
SL28	HG03390	HG03390	HG03388	0	1	0	MSL	child	0	0	0	0	150	6
HG00373	HG00373	HG00373	0	0	2	0	FIN	unrel	0	0	0	0	162	6
1362	GM10860	GM10860	GM11992	GM11993	1	0	CEU	father	0	0	0	0	174	6
NA20819	NA20819	GM20819	0	0	2	0	TSI	unrel	0	0	0	0	186	6
IBS036	HG01700	HG01700	0	0	1	0	IBS	father	0	0	0	0	198	6
IBS031	HG01686	HG01686	0	0	1	0	IBS	father	0	0	0	0	210	6
1424a	GM11933	GM11933	0	0	2	0	CEU	mat grandmother	0	0	0	0	222	6
NA20800	NA20800	GM20800	0	0	2	0	TSI	unrel	0	0	0	0	234	6
NG16	HG02952	HG02952	0	0	2	0	ESN	mother	0	0	0	0	246	6
1418	GM10837	GM10837	GM12272	GM12273	1	0	CEU	father	0	0	0	0	258	6
HG00152	HG00152	HG00152	0	0	1	0	GBR	unrel	0	0	0	0	270	6
NA19429	NA19429	GM19429	0	0	1	0	LWK	unrel	0	0	0	0	282	6
NG22	HG02971	HG02971	0	0	1	0	ESN	father	0	0	0	0	294	6
NA20531	NA20531	GM20531	0	0	2	0	TSI	unrel	0	0	0	0	306	6
HG00360	HG00360	HG00360	0	0	1	0	FIN	unrel	0	0	0	0	318	6
SL52	HG03458	HG03458	0	0	2	0	MSL	mother	0	0	0	0	330	6
GB60	HG02800	HG02800	HG02798	HG02799	1	0	GWD	child	0	0	0	0	342	6
SL50i	HG03466	HG03466	0	0	1	0	MSL	paternal father	0	0	0	0	354	6
IBS062	HG02240	HG02240	HG02238	HG02239	2	0	IBS	child	0	0	0	0	366	6
Y020	NA18876	GM18876	0	0	2	0	YRI	mother	0	0	0	0	378	6
IBS007	HG01519	HG01519	0	0	2	0	IBS	mother	0	0	0	0	390	6
SL46	HG03439	HG03439	0	0	1	0	MSL	father	0	0	0	0	402	6
1350	GM10856	GM10856	GM11829	GM11830	1	0	CEU	father	0	0	0	0	414	6
NA20828	NA20828	GM20828	0	0	2	0	TSI	unrel	0	0	0	0	426	6
NA19028	NA19028	GM19028	0	0	1	0	LWK	unrel	0	0	0	0	438	6
IBS027	HG01674	HG01674	HG01675	HG01673	1	0	IBS	child	0	0	0	0	450	6
NA20522	NA20522	GM20522	0	0	2	0	TSI	unrel	0	0	0	0	462	6
HG00121	HG00121	HG00121	0	0	2	0	GBR	unrel	0	0	0	0	474	6
Y019	NA18875	GM18875	NA18874	NA18873	2	0	YRI	child	0	0	0	0	486	6
SL70	HG03572	HG03572	0	0	2	0	MSL	mother	0	0	0	0	498	6
NG13	HG02945	HG02945	HG02944	HG02943	2	0	ESN	child	0	0	0	0	510	6
NA20809	NA20809	GM20809	0	0	1	0	TSI	unrel	0	0	0	0	522	6
Y047	NA19173	GM19173	NA19171	NA19172	1	0	YRI	child	0	0	0	0	534	6
SL06	HG03066	HG03066	0	0	1	0	MSL	father	0	0	0	0	546	6
HG00234	HG00234	HG00234	0	0	1	0	GBR	unrel	0	0	0	0	558	6
NA20758	NA20758	GM20758	0	0	1	0	TSI	unrel	0	0	0	0	570	6
HG00134	HG00134	HG00134	0	0	2	0	GBR	unrel	0	0	0	0	582	6
GB28	HG02612	HG02612	HG02610	HG02611	1	0	GWD	child	0	0	0	0	594	6
NA20792	NA20792	GM20792	0	0	1	0	TSI	unrel	NA20526	0	0	0	7	7
IBS004	HG01511	HG01511	HG01509	HG01510	2	0	IBS	child	0	0	0	0	19	7
HG00327	HG00327	HG00327	0	0	2	0	FIN	unrel	0	0	0	0	31	7
